epoch,stage,lr,train_loss,train_acc,val_top1,val_top3,val_f1
1,1,0.0009046039886902864,2.7109511874093655,0.3452791999047506,0.520952380952381,0.8104761904761905,0.51983806638089
2,1,0.0006548539886902863,1.787059432354012,0.5524467198476009,0.6057142857142858,0.8847619047619047,0.6051155386861186
3,1,0.0003461460113097138,1.6189993615660843,0.5939992856292415,0.6542857142857142,0.8980952380952381,0.6530720578089216
4,1,9.639601130971379e-05,1.5478037030714753,0.6156685319680915,0.6571428571428571,0.9028571428571428,0.6571398436875742
5,1,1e-06,1.5059077181352265,0.6259078461721633,0.659047619047619,0.900952380952381,0.6579234040557278
6,2,9.891830623632339e-05,1.249053377085519,0.7084176687700917,0.8038095238095239,0.9533333333333334,0.8035351881658569
7,2,9.572050015330874e-05,0.930295126184649,0.817359209429694,0.8352380952380952,0.9771428571428571,0.8354067373141651
8,2,9.05463412215599e-05,0.7972364031512023,0.8734373139659484,0.8571428571428571,0.9780952380952381,0.856830508547607
9,2,8.362196501476348e-05,0.7163370731813963,0.9078461721633527,0.8828571428571429,0.98,0.8829197383048302
10,2,7.525e-05,0.6695722400013755,0.928205738778426,0.8876190476190476,0.979047619047619,0.887718601274269
11,2,6.57963412215599e-05,0.6406834350269257,0.9372544350517918,0.9,0.98,0.8997604571068777
12,2,5.567415893174885e-05,0.617004047434789,0.9521371591856174,0.9038095238095238,0.9838095238095238,0.9036172144890868
13,2,4.532584106825116e-05,0.5915737717914388,0.9619002262174068,0.8914285714285715,0.9828571428571429,0.8914212391384861
14,2,3.5203658778440106e-05,0.5797388073815832,0.967853315870937,0.900952380952381,0.9847619047619047,0.9009103060879519
15,2,2.5750000000000013e-05,0.5678009365212138,0.971187046076914,0.9038095238095238,0.9809523809523809,0.9036394477027493
16,2,1.7378034985236535e-05,0.5618400584659288,0.9736873437313966,0.9057142857142857,0.981904761904762,0.9055128928829959
17,2,1.0453658778440107e-05,0.5494499910387316,0.9795213715918561,0.8980952380952381,0.9857142857142858,0.8979964827348302
18,2,5.279499846691251e-06,0.5484356145544241,0.9795213715918561,0.8961904761904762,0.9838095238095238,0.8961224139732972
19,2,2.0816937636766186e-06,0.5504358724293673,0.9778545064888677,0.8990476190476191,0.9866666666666667,0.8988108133075097
20,2,1e-06,0.5483081840109095,0.9801166805572092,0.9066666666666666,0.9866666666666667,0.906648286608852
