epoch,stage,lr,train_loss,train_acc,val_top1,val_top3,val_f1
1,1,0.0009046039886902864,2.5868869952378493,0.3817632081476766,0.5844444444444444,0.88,0.2821702221286764
2,1,0.0006548539886902863,1.603192934862449,0.6365372374283895,0.7155555555555555,0.9244444444444444,0.3340817195147904
3,1,0.0003461460113097138,1.3978100238826758,0.6842775302355187,0.78,0.9355555555555556,0.3572473307005997
4,1,9.639601130971379e-05,1.2990683909057432,0.7165817950350095,0.8,0.9377777777777778,0.36155740517964663
5,1,1e-06,1.2989347896175276,0.718968809675366,0.8022222222222222,0.9466666666666667,0.36475627124423954
6,2,9.891830623632339e-05,1.0676280958192657,0.7893061744112031,0.8733333333333333,0.9777777777777777,0.390170644528998
7,2,9.572050015330874e-05,0.8161885564604965,0.8658497772119669,0.9088888888888889,0.9844444444444445,0.46783577686790867
8,2,9.05463412215599e-05,0.7005156889453502,0.9202737110120942,0.9422222222222222,0.9955555555555555,0.48049523093195984
9,2,8.362196501476348e-05,0.6388062325956562,0.9403246339910885,0.9444444444444444,0.9911111111111112,0.4826634374768979
10,2,7.525e-05,0.613526705607421,0.9538510502864418,0.9622222222222222,0.9955555555555555,0.4858490421877483
11,2,6.57963412215599e-05,0.5939767404698324,0.9597390197326544,0.9666666666666667,0.9977777777777778,0.48761877221886124
12,2,5.567415893174885e-05,0.5666040239783323,0.9721514958625079,0.9711111111111111,0.9977777777777778,0.48982013913102335
13,2,4.532584106825116e-05,0.5539206623044612,0.9756524506683641,0.9666666666666667,0.9977777777777778,0.4892527294964377
14,2,3.5203658778440106e-05,0.5387285734573646,0.9812221514958626,0.9733333333333334,0.9977777777777778,0.4915119904539604
15,2,2.5750000000000013e-05,0.5379510798475532,0.9799490770210058,0.9711111111111111,0.9977777777777778,0.49095089779984447
16,2,1.7378034985236535e-05,0.5304149214930022,0.9826543602800764,0.9755555555555555,0.9977777777777778,0.49098013756592634
17,2,1.0453658778440107e-05,0.5260569806655906,0.9844048376830045,0.9755555555555555,0.9977777777777778,0.49210041958355594
18,2,5.279499846691251e-06,0.5250438102713669,0.9837683004455761,0.9777777777777777,0.9977777777777778,0.49266154927512046
19,2,2.0816937636766186e-06,0.5215308035277471,0.9867918523233609,0.9688888888888889,0.9977777777777778,0.48923377021365094
20,2,1e-06,0.5214397237985321,0.9850413749204329,0.9777777777777777,0.9977777777777778,0.49266154927512046
