epoch,stage,lr,train_loss,train_acc,val_top1,val_top3,val_f1
1,1,0.0009046039886902864,2.527657483505793,0.3851050286441757,0.6422222222222222,0.8844444444444445,0.3112803365248538
2,1,0.0006548539886902863,1.4356136023808557,0.6223742838956079,0.74,0.92,0.3497416978048255
3,1,0.0003461460113097138,1.2148782116527546,0.6904837683004456,0.7933333333333333,0.9377777777777778,0.36521219057368615
4,1,9.639601130971379e-05,1.1670243917643683,0.7022597071928708,0.7911111111111111,0.9266666666666666,0.3650027578599007
5,1,1e-06,1.0907847923810583,0.7196053469127944,0.8,0.94,0.3674762948956497
6,2,9.891830623632339e-05,0.8612275308746202,0.8049013367281986,0.8777777777777778,0.9755555555555555,0.3935197236546562
7,2,9.572050015330874e-05,0.6073675382144886,0.887332908975175,0.9288888888888889,0.9844444444444445,0.40936238902340605
8,2,9.05463412215599e-05,0.5004577772546012,0.9231381285805219,0.9422222222222222,0.9866666666666667,0.4811857311857312
9,2,8.362196501476348e-05,0.4509035549787561,0.9452577975811585,0.9466666666666667,0.9911111111111112,0.48176599133774406
10,2,7.525e-05,0.40957392711384444,0.9581476766390834,0.9733333333333334,0.9933333333333333,0.4920897370397476
11,2,6.57963412215599e-05,0.3904803205947827,0.9656269891788669,0.9644444444444444,0.9933333333333333,0.48919407100786216
12,2,5.567415893174885e-05,0.36132554898665714,0.9764481222151495,0.9577777777777777,0.9933333333333333,0.4869669292761791
13,2,4.532584106825116e-05,0.35305412725458324,0.9793125397835774,0.9622222222222222,0.9911111111111112,0.488625371334017
14,2,3.5203658778440106e-05,0.3388016942691682,0.9831317632081477,0.9666666666666667,0.9933333333333333,0.4892163307630227
15,2,2.5750000000000013e-05,0.3311614042099383,0.9848822406110758,0.9688888888888889,0.9933333333333333,0.4898335123793265
16,2,1.7378034985236535e-05,0.32683782005370765,0.9866327180140039,0.9644444444444444,0.9933333333333333,0.586330104577735
17,2,1.0453658778440107e-05,0.32172577218748366,0.9893380012730745,0.9688888888888889,0.9933333333333333,0.489805422427565
18,2,5.279499846691251e-06,0.32332086479641087,0.9872692552514322,0.9711111111111111,0.9933333333333333,0.490951446988038
19,2,2.0816937636766186e-06,0.3182999790663328,0.9898154042011458,0.9733333333333334,0.9933333333333333,0.5898106626349628
20,2,1e-06,0.31489253273668905,0.9902928071292171,0.9688888888888889,0.9933333333333333,0.5884594322099069
