DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    Scrap Tyres,1000,1000,1000,1000,1000,2000,3000,3000,3000,3000,3000,3000,2000,4000,4000,4000,3000,4000,5000,6000,8000,8000,9000,5000,6000
    Horticultural,40000,38000,32000,55000,64000,107000,93000,108000,112000,125000,115000,132000,140000,97000,80000,145000,133000,134000,144000,99000,99000,185000,300000,192000,75000
    Wood,160000,149000,121000,76000,109000,149000,93000,97000,119000,77000,74000,78000,108000,150000,152000,80000,79000,118000,142000,149000,149000,173000,233000,247000,248000
    Paper/Cardboard,871000,863000,671000,699000,712000,561000,467000,576000,576000,593000,591000,582000,555000,603000,646000,627000,654000,584000,545000,558000,612000,619000,656000,790000,574000
    Glass,73000,69000,63000,65000,58000,64000,52000,59000,58000,62000,64000,59000,55000,51000,61000,58000,47000,60000,57000,59000,69000,59000,48000,29000,31000
    Food,646000,623000,667000,663000,539000,607000,637000,677000,680000,699000,687000,696000,618000,606000,538000,529000,500000,508000,498000,495000,500000,515000,495000,505000,1082000
    Ash And Sludge,193000,199000,213000,227000,211000,226000,215000,215000,199000,171000,127000,176000,160000,153000,114000,89000,115000,125000,127000,98000,94000,89000,84000,79000,50000
    Textile/Leather,199000,206000,249000,182000,131000,161000,206000,141000,140000,143000,142000,140000,141000,114000,106000,97000,82000,104000,88000,85000,110000,91000,63000,94000,25000
    Plastic,875000,909000,944000,924000,832000,893000,909000,763000,763000,773000,789000,741000,721000,656000,662000,629000,623000,585000,579000,589000,609000,541000,526000,490000,162000
    Others,260000,232000,219000,214000,173000,195000,274000,319000,376000,334000,356000,330000,334000,325000,304000,268000,300000,235000,227000,216000,103000,104000,85000,136000,201000
Recycling Rate,50,52,57,55,52,59,62,61,61,61,60,62,60,59,58,57,56,54,51,49,48,47,45,44,40
    Construction & Demolition,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,94,93,94,90,85,61
    Ferrous Metal,99,99,99,99,99,99,99,99,99,99,96,97,96,95,94,92,94,91,91,92,90,93,94,87,92
    Non-Ferrous Metal,99,99,98,98,98,99,99,98,99,90,80,84,79,88,86,82,85,82,82,84,83,81,81,85,85
    Used Slag,98,98,99,99,99,99,99,99,98,99,99,98,97,98,99,99,99,99,89,78,97,92,92,90,45
    Scrap Tyres,96,95,95,95,95,94,90,92,91,92,88,88,87,83,83,83,88,86,81,64,49,43,44,59,54
    Horticultural,85,85,85,83,80,73,82,67,65,66,59,48,44,64,70,39,42,41,38,51,56,39,28,32,42
    Wood,61,67,71,76,64,66,71,77,78,79,80,77,69,37,40,72,71,52,37,38,33,19,9,8,9
    Paper/Cardboard,32,31,37,39,38,44,56,50,51,51,52,54,56,56,53,48,48,51,51,49,46,43,41,36,43
    Glass,7,8,14,13,11,15,19,17,20,19,20,20,26,29,24,21,18,9,10,6,7,9,11,15,14
    Food,18,18,18,19,19,18,17,16,14,13,13,13,12,10,16,13,12,9,8,7,6,6,6,6,1
    Ash And Sludge,16,14,11,9,7,10,10,12,13,13,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
    Textile/Leather,3,2,2,4,4,4,6,6,7,8,11,10,11,13,12,12,12,5,4,4,4,1,2,1,0
    Plastic,5,5,6,6,4,4,4,6,7,7,9,11,10,11,11,9,9,11,12,13,11,7,6,10,22
    Others,na,na,na,8,11,7,4,2,2,2,1,1,1,1,1,1,3,6,6,4,10,0,0,0,1
